Site,Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
MAUn,2,eryca,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,FILAGO,24,0.019184652,6.408,2,0.192,0,3.492,5
MAUn,2,GALIVE,11,0.008792966,2.937,3,0.088,0,1.6005,3
MAUn,2,HORDEUM,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,HYP,2,0.001598721,0.534,1,0.016,0,0.291,0
MAUn,2,LALA,2,0.001598721,0.534,0,0.016,0,0.291,0
MAUn,2,LINU,1,0.000799361,0.267,1,0.008,0,0.1455,0
MAUn,2,lygi,10,0.007993605,2.67,2,NA,NA,1.455,1
MAUn,2,NEATOS,4,0.003197442,1.068,1,0.032,0,0.582,0
MAUn,2,phalaris,17,0.013589129,4.539,5,0.136,0,2.4735,6
MAUn,2,PLAFRA,42,0.033573141,11.214,8,0.336,0,6.111,10
MAUn,2,PLAL,25,0.019984013,6.675,3,0.2,0,3.6375,4
MAUn,2,plalag,1,0.000799361,0.267,1,0.008,0,0.1455,0
MAUn,2,SAGE,1,0.000799361,0.267,1,0.008,0,0.1455,0
MAUn,2,save,182,0.145483613,48.594,31,1.456,1,NA,NA
MAUn,2,sonchus,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,STIPAR,42,0.033573141,11.214,23,0.336,1,6.111,4
MAUn,2,SUAEDA,6,0.004796163,1.602,1,0.048,0,0.873,0
MAUn,2,trigomon,8,0.006394884,2.136,6,0.064,0,1.164,1
MAUn,3,ARTIBA,350,0.28,NA,NA,24.92,8,29.4,12
MAUn,3,ASPH,21,0.0168,5.88,7,1.4952,1,1.764,6
MAUn,3,ASTRAG,33,0.0264,9.24,5,2.3496,2,2.772,3
MAUn,3,BRADI,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,BRARE,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,BRORU,28,0.0224,7.84,2,1.9936,5,2.352,8
MAUn,3,BUPLEU,21,0.0168,5.88,0,1.4952,4,1.764,4
MAUn,3,conv,4,0.0032,1.12,3,0.2848,0,0.336,0
MAUn,3,DACT,60,0.048,16.8,17,4.272,5,5.04,9
MAUn,3,DESMA,9,0.0072,2.52,2,0.6408,0,0.756,3
MAUn,3,DIPLO,5,0.004,1.4,1,0.356,1,0.42,1
MAUn,3,erodiun,2,0.0016,0.56,1,0.1424,0,0.168,1
MAUn,3,eryca,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,FILAGO,10,0.008,2.8,2,0.712,0,0.84,0
MAUn,3,GALIVE,20,0.016,5.6,4,1.424,4,1.68,2
MAUn,3,HELISA,3,0.0024,0.84,0,0.2136,0,0.252,1
MAUn,3,HORDEUM,12,0.0096,3.36,1,0.8544,0,1.008,7
MAUn,3,HYP,1,0.0008,0.28,0,0.0712,1,0.084,0
MAUn,3,limonium,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,LINU,13,0.0104,3.64,4,0.9256,2,1.092,1
MAUn,3,lygi,89,0.0712,24.92,8,NA,NA,7.476,5
MAUn,3,MEDILIT,7,0.0056,1.96,3,0.4984,1,0.588,0
MAUn,3,NEATOS,3,0.0024,0.84,1,0.2136,0,0.252,1
MAUn,3,phalaris,22,0.0176,6.16,7,1.5664,0,1.848,5
MAUn,3,PLAFRA,23,0.0184,6.44,6,1.6376,3,1.932,3
MAUn,3,PLAL,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,plalag,5,0.004,1.4,0,0.356,0,0.42,1
MAUn,3,save,105,0.084,29.4,12,7.476,5,NA,NA
MAUn,3,SEDU,5,0.004,1.4,3,0.356,1,0.42,0
MAUn,3,silenoc,1,0.0008,0.28,1,0.0712,0,0.084,0
MAUn,3,sonchus,1,0.0008,0.28,0,0.0712,1,0.084,0
MAUn,3,STIPALAG,3,0.0024,0.84,0,0.2136,0,0.252,0
MAUn,3,STIPAR,150,0.12,42,39,10.68,0,12.6,9
MAUn,3,SUAEDA,29,0.0232,8.12,4,2.0648,4,2.436,0
MAUn,3,trigomon,13,0.0104,3.64,3,0.9256,1,1.092,2
MAUn,4,ARTIBA,327,0.261390887,NA,NA,1.308,2,65.8578,34
MAUn,4,ASPH,10,0.007993605,2.614,2,0.04,0,2.014,2
MAUn,4,ASTRAG,71,0.056754596,18.5594,10,0.284,0,14.2994,20
MAUn,4,BRORU,11,0.008792966,2.8754,1,0.044,1,2.2154,7
MAUn,4,BUPLEU,55,0.043964828,14.377,0,0.22,0,11.077,22
MAUn,4,compu,1,0.000799361,0.2614,1,0.004,0,0.2014,0
MAUn,4,DACT,63,0.050359712,16.4682,19,0.252,0,12.6882,25
MAUn,4,DESMA,7,0.005595524,1.8298,3,0.028,0,1.4098,0
MAUn,4,DIPLO,9,0.007194245,2.3526,2,0.036,0,1.8126,6
MAUn,4,erodiun,1,0.000799361,0.2614,0,0.004,0,0.2014,0
MAUn,4,FILAGO,27,0.021582734,7.0578,4,0.108,0,5.4378,14
MAUn,4,GALIVE,4,0.003197442,1.0456,1,0.016,0,0.8056,2
MAUn,4,HORDEUM,20,0.01598721,5.228,4,0.08,0,4.028,11
MAUn,4,LINU,1,0.000799361,0.2614,0,0.004,0,0.2014,0
MAUn,4,lygi,5,0.003996803,1.307,2,NA,NA,1.007,0
MAUn,4,MEDILIT,10,0.007993605,2.614,3,0.04,0,2.014,5
MAUn,4,NEATOS,2,0.001598721,0.5228,0,0.008,0,0.4028,1
MAUn,4,phalaris,24,0.019184652,6.2736,11,0.096,0,4.8336,4
MAUn,4,PLAFRA,29,0.023181455,7.5806,8,0.116,0,5.8406,11
MAUn,4,PLAL,15,0.011990408,3.921,3,0.06,0,3.021,2
MAUn,4,save,252,0.201438849,65.8728,34,1.008,0,NA,NA
MAUn,4,SEDU,2,0.001598721,0.5228,1,0.008,0,0.4028,0
MAUn,4,sonchus,1,0.000799361,0.2614,1,0.004,0,0.2014,1
MAUn,4,STIPALAG,2,0.001598721,0.5228,0,0.008,0,0.4028,1
MAUn,4,STIPAR,41,0.032773781,10.7174,12,0.164,0,8.2574,8
MAUn,4,SUAEDA,4,0.003197442,1.0456,0,0.016,0,0.8056,1
MAUn,4,trigomon,2,0.001598721,0.5228,1,0.008,0,0.4028,1
MAUn,5,ARTIBA,325,0.26,NA,NA,37.18,13,33.54,22
MAUn,5,ASPH,9,0.0072,2.34,3,1.0296,0,0.9288,2
MAUn,5,ASTER,1,0.0008,0.26,0,0.1144,0,0.1032,0
MAUn,5,ASTRAG,22,0.0176,5.72,12,2.5168,0,2.2704,3
MAUn,5,BRARE,2,0.0016,0.52,1,0.2288,0,0.2064,0
MAUn,5,BRORU,11,0.0088,2.86,5,1.2584,0,1.1352,2
MAUn,5,BUPLEU,26,0.0208,6.76,4,2.9744,1,2.6832,9
MAUn,5,DACT,54,0.0432,14.04,28,6.1776,1,5.5728,13
MAUn,5,DESMA,8,0.0064,2.08,3,0.9152,2,0.8256,1
MAUn,5,DIPLO,11,0.0088,2.86,0,1.2584,1,1.1352,1
MAUn,5,elyrep,5,0.004,1.3,1,0.572,0,0.516,0
MAUn,5,erodiun,4,0.0032,1.04,1,0.4576,0,0.4128,2
MAUn,5,FILAGO,13,0.0104,3.38,3,1.4872,1,1.3416,2
MAUn,5,GALIVE,11,0.0088,2.86,5,1.2584,0,1.1352,0
MAUn,5,HEDYP,1,0.0008,0.26,0,0.1144,0,0.1032,0
MAUn,5,HORDEUM,41,0.0328,10.66,8,4.6904,0,4.2312,13
MAUn,5,hyp,2,0.0016,0.52,0,0.2288,0,0.2064,0
MAUn,5,LINU,38,0.0304,9.88,14,4.3472,1,3.9216,3
MAUn,5,lygi,143,0.1144,37.18,13,NA,NA,14.7576,4
MAUn,5,MEDI,5,0.004,1.3,0,0.572,1,0.516,0
MAUn,5,phalaris,27,0.0216,7.02,9,3.0888,4,2.7864,6
MAUn,5,PLAFRA,40,0.032,10.4,6,4.576,2,4.128,8
MAUn,5,PLAL,9,0.0072,2.34,4,1.0296,0,0.9288,0
MAUn,5,plalag,9,0.0072,2.34,2,1.0296,0,0.9288,1
MAUn,5,save,129,0.1032,33.54,22,14.7576,4,NA,NA
MAUn,5,SENECIO,1,0.0008,0.26,0,0.1144,1,0.1032,0
MAUn,5,spheno,1,0.0008,0.26,0,0.1144,0,0.1032,0
MAUn,5,STIPAR,181,0.1448,47.06,64,20.7064,2,18.6792,16
MAUn,5,SUAEDA,44,0.0352,11.44,7,5.0336,2,4.5408,2
MAUn,5,trigomon,12,0.0096,3.12,5,1.3728,0,1.2384,2
MAUn,6,ARTIBA,282,0.225419664,NA,NA,27.2694,9,27.495,16
MAUn,6,ASTRAG,44,0.035171863,9.9176,22,4.2548,4,4.29,2
MAUn,6,BRORU,1,0.000799361,0.2254,0,0.0967,0,0.0975,0
MAUn,6,BUPLEU,25,0.019984013,5.635,6,2.4175,8,2.4375,5
MAUn,6,conv,3,0.002398082,0.6762,2,0.2901,0,0.2925,0
MAUn,6,DACT,91,0.072741807,20.5114,44,8.7997,2,8.8725,22
MAUn,6,DESMA,3,0.002398082,0.6762,0,0.2901,0,0.2925,0
MAUn,6,DIPLO,1,0.000799361,0.2254,1,0.0967,1,0.0975,0
MAUn,6,erodiun,1,0.000799361,0.2254,0,0.0967,0,0.0975,0
MAUn,6,FILAGO,10,0.007993605,2.254,4,0.967,3,0.975,3
MAUn,6,GALIVE,9,0.007194245,2.0286,2,0.8703,2,0.8775,1
MAUn,6,HORDEUM,15,0.011990408,3.381,6,1.4505,0,1.4625,3
MAUn,6,HYP,1,0.000799361,0.2254,0,0.0967,0,0.0975,0
MAUn,6,LINU,2,0.001598721,0.4508,1,0.1934,1,0.195,0
MAUn,6,lygi,121,0.096722622,27.2734,9,NA,NA,11.7975,0
MAUn,6,MEDILIT,2,0.001598721,0.4508,1,0.1934,0,0.195,0
MAUn,6,NEATOS,3,0.002398082,0.6762,2,0.2901,1,0.2925,1
MAUn,6,phalaris,3,0.002398082,0.6762,1,0.2901,0,0.2925,0
MAUn,6,PLAFRA,31,0.024780176,6.9874,6,2.9977,12,3.0225,1
MAUn,6,PLAL,58,0.04636291,13.0732,8,5.6086,3,5.655,6
MAUn,6,save,122,0.097521982,27.4988,16,11.7974,0,NA,NA
MAUn,6,SEDU,6,0.004796163,1.3524,4,0.5802,0,0.585,0
MAUn,6,SENECIO,8,0.006394884,1.8032,2,0.7736,3,0.78,1
MAUn,6,STIPAR,95,0.075939249,21.413,14,9.1865,3,9.2625,27
MAUn,6,SUAEDA,29,0.023181455,6.5366,4,2.8043,4,2.8275,1
MAUn,6,trigomon,10,0.007993605,2.254,4,0.967,1,0.975,0
MAG,1,aegg,1,0.0008,0.2576,0,0.004,0,0.0448,0
MAG,1,aizoon,3,0.0024,0.7728,0,0.012,0,0.1344,0
MAG,1,anacyclu,30,0.024,7.728,6,0.12,0,1.344,2
MAG,1,ANAGA,1,0.0008,0.2576,0,0.004,0,0.0448,0
MAG,1,ARTIBA,322,0.2576,NA,NA,1.288,0,14.4256,4
MAG,1,ASPH,7,0.0056,1.8032,1,0.028,0,0.3136,0
MAG,1,ASTRAG,69,0.0552,17.7744,10,0.276,0,3.0912,1
MAG,1,BRADI,76,0.0608,19.5776,28,0.304,0,3.4048,5
MAG,1,BRORU,89,0.0712,22.9264,44,0.356,0,3.9872,8
MAG,1,BUPLEU,24,0.0192,6.1824,2,0.096,0,1.0752,4
MAG,1,cabu,1,0.0008,0.2576,0,0.004,0,0.0448,1
MAG,1,centa,1,0.0008,0.2576,1,0.004,0,0.0448,0
MAG,1,dact,9,0.0072,2.3184,4,0.036,0,0.4032,0
MAG,1,desma,7,0.0056,1.8032,2,0.028,0,0.3136,0
MAG,1,DIPLO,12,0.0096,3.0912,0,0.048,0,0.5376,0
MAG,1,eryca,1,0.0008,0.2576,0,0.004,0,0.0448,0
MAG,1,FILAGO,24,0.0192,6.1824,1,0.096,0,1.0752,1
MAG,1,GALIVE,6,0.0048,1.5456,0,0.024,0,0.2688,0
MAG,1,helisa,7,0.0056,1.8032,2,0.028,0,0.3136,0
MAG,1,hernci,1,0.0008,0.2576,0,0.004,0,0.0448,0
MAG,1,HORDEUM,73,0.0584,18.8048,23,0.292,0,3.2704,12
MAG,1,lopho,11,0.0088,2.8336,2,0.044,0,0.4928,0
MAG,1,lygi,5,0.004,1.288,0,NA,NA,0.224,0
MAG,1,MEDILIT,1,0.0008,0.2576,1,0.004,0,0.0448,0
MAG,1,NEATOS,8,0.0064,2.0608,3,0.032,0,0.3584,0
MAG,1,PEGANUM,9,0.0072,2.3184,1,0.036,0,0.4032,0
MAG,1,phalaris,2,0.0016,0.5152,1,0.008,0,0.0896,0
MAG,1,PLAFRA,9,0.0072,2.3184,1,0.036,0,0.4032,0
MAG,1,PLAL,60,0.048,15.456,12,0.24,0,2.688,1
MAG,1,save,56,0.0448,14.4256,4,0.224,0,NA,NA
MAG,1,STIPALAG,10,0.008,2.576,1,0.04,0,0.448,1
MAG,1,STIPAR,5,0.004,1.288,0,0.02,0,0.224,0
MAG,1,SUAEDA,23,0.0184,5.9248,5,0.092,0,1.0304,0
MAG,1,trigomon,3,0.0024,0.7728,0,0.012,0,0.1344,0
MAG,2,anacyclu,6,0.004796163,1.3284,1,0.1632,1,0.0816,0
MAG,2,art,12,0.009592326,2.6568,0,0.3264,0,0.1632,0
MAG,2,ARTIBA,277,0.221422862,NA,NA,7.5344,1,3.7672,1
MAG,2,ASPH,41,0.032773781,9.0774,7,1.1152,1,0.5576,0
MAG,2,ASTRAG,19,0.01518785,4.2066,3,0.5168,0,0.2584,0
MAG,2,BRADI,13,0.010391687,2.8782,1,0.3536,0,0.1768,0
MAG,2,BRARE,23,0.018385292,5.0922,0,0.6256,2,0.3128,0
MAG,2,BRORU,40,0.03197442,8.856,22,1.088,1,0.544,1
MAG,2,BUPLEU,7,0.005595524,1.5498,1,0.1904,0,0.0952,0
MAG,2,centa,3,0.002398082,0.6642,0,0.0816,0,0.0408,0
MAG,2,DACT,1,0.000799361,0.2214,0,0.0272,0,0.0136,0
MAG,2,desma,4,0.003197442,0.8856,1,0.1088,0,0.0544,0
MAG,2,erodiun,3,0.002398082,0.6642,0,0.0816,0,0.0408,0
MAG,2,eryca,1,0.000799361,0.2214,0,0.0272,0,0.0136,0
MAG,2,FILAGO,5,0.003996803,1.107,1,0.136,0,0.068,0
MAG,2,frank,1,0.000799361,0.2214,0,0.0272,0,0.0136,0
MAG,2,geranium,1,0.000799361,0.2214,0,0.0272,0,0.0136,0
MAG,2,helisa,1,0.000799361,0.2214,1,0.0272,0,0.0136,0
MAG,2,HORDEUM,12,0.009592326,2.6568,3,0.3264,0,0.1632,1
MAG,2,HYP,2,0.001598721,0.4428,1,0.0544,0,0.0272,0
MAG,2,limonium,53,0.042366107,11.7342,0,1.4416,0,0.7208,0
MAG,2,LINU,9,0.007194245,1.9926,3,0.2448,0,0.1224,0
MAG,2,lopho,4,0.003197442,0.8856,1,0.1088,0,0.0544,0
MAG,2,lygi,34,0.027178257,7.5276,1,NA,NA,0.4624,0
MAG,2,medilit,2,0.001598721,0.4428,0,0.0544,0,0.0272,0
MAG,2,NEATOS,6,0.004796163,1.3284,1,0.1632,0,0.0816,0
MAG,2,PEGANUM,2,0.001598721,0.4428,0,0.0544,0,0.0272,1
MAG,2,PLAFRA,17,0.013589129,3.7638,2,0.4624,1,0.2312,0
MAG,2,PLAL,110,0.087929656,24.354,15,2.992,0,1.496,2
MAG,2,save,17,0.013589129,3.7638,1,0.4624,0,NA,NA
MAG,2,sonchus,2,0.001598721,0.4428,2,0.0544,0,0.0272,0
MAG,2,spergula,2,0.001598721,0.4428,0,0.0544,0,0.0272,0
MAG,2,spheno,7,0.005595524,1.5498,0,0.1904,0,0.0952,0
MAG,2,STIPAR,13,0.010391687,2.8782,1,0.3536,0,0.1768,0
MAG,2,SUAEDA,79,0.06314948,17.4906,3,2.1488,1,1.0744,0
MAG,2,trigomon,4,0.003197442,0.8856,1,0.1088,0,0.0544,0
MAG,3,aizon,5,0.004,1.156,0,0.02,0,0.204,2
MAG,3,anacyclu,7,0.0056,1.6184,1,0.028,0,0.2856,0
MAG,3,ARTIBA,289,0.2312,NA,NA,1.156,1,11.7912,4
MAG,3,ASPH,7,0.0056,1.6184,0,0.028,0,0.2856,1
MAG,3,ASTRAG,69,0.0552,15.9528,13,0.276,0,2.8152,2
MAG,3,BRADI,24,0.0192,5.5488,12,0.096,0,0.9792,3
MAG,3,BRORU,35,0.028,8.092,9,0.14,0,1.428,11
MAG,3,BUPLEU,24,0.0192,5.5488,3,0.096,0,0.9792,3
MAG,3,DACT,13,0.0104,3.0056,8,0.052,0,0.5304,2
MAG,3,DESMA,6,0.0048,1.3872,0,0.024,0,0.2448,0
MAG,3,DIPLO,17,0.0136,3.9304,1,0.068,0,0.6936,2
MAG,3,ELY,1,0.0008,0.2312,0,0.004,0,0.0408,1
MAG,3,erodiun,2,0.0016,0.4624,0,0.008,0,0.0816,0
MAG,3,eryca,1,0.0008,0.2312,0,0.004,0,0.0408,0
MAG,3,FILAGO,4,0.0032,0.9248,2,0.016,0,0.1632,0
MAG,3,hedyp,7,0.0056,1.6184,1,0.028,0,0.2856,1
MAG,3,helisa,12,0.0096,2.7744,4,0.048,0,0.4896,0
MAG,3,HORDEUM,36,0.0288,8.3232,15,0.144,0,1.4688,3
MAG,3,koelerval,2,0.0016,0.4624,0,0.008,0,0.0816,0
MAG,3,lygi,5,0.004,1.156,1,NA,NA,0.204,0
MAG,3,medilit,1,0.0008,0.2312,0,0.004,1,0.0408,0
MAG,3,NEATOS,1,0.0008,0.2312,0,0.004,0,0.0408,0
MAG,3,peganum,1,0.0008,0.2312,0,0.004,0,0.0408,0
MAG,3,phalaris,2,0.0016,0.4624,2,0.008,0,0.0816,0
MAG,3,PLAFRA,18,0.0144,4.1616,2,0.072,0,0.7344,1
MAG,3,PLAL,135,0.108,31.212,34,0.54,2,5.508,7
MAG,3,rapis,1,0.0008,0.2312,0,0.004,0,0.0408,0
MAG,3,save,51,0.0408,11.7912,4,0.204,0,NA,NA
MAG,3,SEDU,2,0.0016,0.4624,1,0.008,0,0.0816,1
MAG,3,SIDEHIR,1,0.0008,0.2312,0,0.004,0,0.0408,0
MAG,3,spergula,4,0.0032,0.9248,0,0.016,0,0.1632,0
MAG,3,STIPAR,25,0.02,5.78,12,0.1,0,1.02,2
MAG,3,THYMUVU,2,0.0016,0.4624,0,0.008,0,0.0816,0
MAG,3,THYMUZY,1,0.0008,0.2312,0,0.004,0,0.0408,0
MAG,3,trigomon,3,0.0024,0.6936,1,0.012,0,0.1224,0
MAG,4,art,11,0.008792966,1.7501,0,0.3784,0,0.3344,0
MAG,4,ARTIBA,199,0.159072742,NA,NA,6.8456,0,6.0496,3
MAG,4,ASPH,40,0.03197442,6.364,10,1.376,1,1.216,3
MAG,4,ASTRAG,18,0.014388489,2.8638,3,0.6192,0,0.5472,1
MAG,4,BRADI,13,0.010391687,2.0683,6,0.4472,0,0.3952,4
MAG,4,BRARE,71,0.056754596,11.2961,0,2.4424,6,2.1584,0
MAG,4,BRORU,18,0.014388489,2.8638,10,0.6192,0,0.5472,4
MAG,4,BUPLEU,8,0.006394884,1.2728,0,0.2752,0,0.2432,2
MAG,4,centa,1,0.000799361,0.1591,0,0.0344,0,0.0304,0
MAG,4,crucifera,1,0.000799361,0.1591,0,0.0344,0,0.0304,0
MAG,4,DACT,2,0.001598721,0.3182,2,0.0688,0,0.0608,0
MAG,4,DESMA,4,0.003197442,0.6364,2,0.1376,0,0.1216,1
MAG,4,DIPLO,1,0.000799361,0.1591,0,0.0344,0,0.0304,0
MAG,4,FILAGO,1,0.000799361,0.1591,0,0.0344,0,0.0304,1
MAG,4,geranium,2,0.001598721,0.3182,0,0.0688,1,0.0608,0
MAG,4,hedyp,10,0.007993605,1.591,2,0.344,0,0.304,2
MAG,4,helisa,2,0.001598721,0.3182,2,0.0688,0,0.0608,0
MAG,4,HORDEUM,12,0.009592326,1.9092,6,0.4128,0,0.3648,2
MAG,4,limon,41,0.032773781,6.5231,0,1.4104,6,1.2464,0
MAG,4,LINU,1,0.000799361,0.1591,0,0.0344,0,0.0304,0
MAG,4,lygi,43,0.034372502,6.8413,0,NA,NA,1.3072,0
MAG,4,medilit,4,0.003197442,0.6364,1,0.1376,0,0.1216,1
MAG,4,narsal,1,0.000799361,0.1591,0,0.0344,0,0.0304,1
MAG,4,NEATOS,5,0.003996803,0.7955,0,0.172,0,0.152,1
MAG,4,peganum,1,0.000799361,0.1591,0,0.0344,0,0.0304,0
MAG,4,phalaris,4,0.003197442,0.6364,2,0.1376,0,0.1216,0
MAG,4,PLAFRA,17,0.013589129,2.7047,6,0.5848,0,0.5168,0
MAG,4,PLAL,169,0.135091926,26.8879,25,5.8136,0,5.1376,12
MAG,4,plantula,2,0.001598721,0.3182,0,0.0688,0,0.0608,0
MAG,4,save,38,0.030375699,6.0458,3,1.3072,0,NA,NA
MAG,4,SEDU,1,0.000799361,0.1591,0,0.0344,0,0.0304,1
MAG,4,spergula,8,0.006394884,1.2728,1,0.2752,0,0.2432,1
MAG,4,spheno,4,0.003197442,0.6364,0,0.1376,1,0.1216,0
MAG,4,STIPAR,23,0.018385292,3.6593,7,0.7912,0,0.6992,5
MAG,4,SUAEDA,81,0.064748201,12.8871,1,2.7864,1,2.4624,0
MAG,4,trigomon,5,0.003996803,0.7955,2,0.172,0,0.152,1
MAG,5,aizon,8,0.0064,1.3312,1,0.0704,0,0.544,2
MAG,5,anacyclu,6,0.0048,0.9984,0,0.0528,0,0.408,2
MAG,5,ARTIBA,208,0.1664,NA,NA,1.8304,2,14.144,9
MAG,5,ASTRAG,49,0.0392,8.1536,13,0.4312,1,3.332,14
MAG,5,BRADI,1,0.0008,0.1664,1,0.0088,0,0.068,0
MAG,5,BRORU,15,0.012,2.496,3,0.132,0,1.02,3
MAG,5,BUPLEU,31,0.0248,5.1584,2,0.2728,1,2.108,8
MAG,5,DACT,15,0.012,2.496,5,0.132,2,1.02,1
MAG,5,DIPLO,19,0.0152,3.1616,3,0.1672,0,1.292,1
MAG,5,eryca,3,0.0024,0.4992,0,0.0264,0,0.204,0
MAG,5,FILAGO,4,0.0032,0.6656,0,0.0352,0,0.272,0
MAG,5,HEDYP,2,0.0016,0.3328,0,0.0176,0,0.136,0
MAG,5,HELISA,6,0.0048,0.9984,6,0.0528,0,0.408,0
MAG,5,HORDEUM,34,0.0272,5.6576,14,0.2992,1,2.312,11
MAG,5,lygi,11,0.0088,1.8304,2,NA,NA,0.748,0
MAG,5,phalaris,2,0.0016,0.3328,0,0.0176,0,0.136,1
MAG,5,PLAFRA,23,0.0184,3.8272,2,0.2024,1,1.564,11
MAG,5,PLAL,101,0.0808,16.8064,11,0.8888,0,6.868,1
MAG,5,poabul,1,0.0008,0.1664,1,0.0088,0,0.068,0
MAG,5,rapis,1,0.0008,0.1664,1,0.0088,0,0.068,0
MAG,5,save,85,0.068,14.144,9,0.748,0,NA,NA
MAG,5,SEDU,2,0.0016,0.3328,2,0.0176,0,0.136,0
MAG,5,spergula,3,0.0024,0.4992,0,0.0264,0,0.204,0
MAG,5,STIPAR,16,0.0128,2.6624,6,0.1408,0,1.088,0
MAG,5,SUAEDA,4,0.0032,0.6656,0,0.0352,0,0.272,0
MAG,5,THYMUVU,2,0.0016,0.3328,0,0.0176,0,0.136,0
MAG,5,trigomon,12,0.0096,1.9968,3,0.1056,0,0.816,3
MAG,6,art,40,0.03197442,6.556,0,0.928,0,0.608,0
MAG,6,ARTIBA,205,0.163868905,NA,NA,4.756,0,3.116,5
MAG,6,ASPH,32,0.025579536,5.2448,9,0.7424,0,0.4864,1
MAG,6,ASTRAG,15,0.011990408,2.4585,5,0.348,0,0.228,0
MAG,6,BRADI,6,0.004796163,0.9834,5,0.1392,0,0.0912,0
MAG,6,BRARE,39,0.03117506,6.3921,0,0.9048,1,0.5928,0
MAG,6,BRORU,7,0.005595524,1.1473,3,0.1624,0,0.1064,0
MAG,6,BUPLEU,4,0.003197442,0.6556,0,0.0928,1,0.0608,0
MAG,6,cabu,3,0.002398082,0.4917,1,0.0696,0,0.0456,0
MAG,6,centa,3,0.002398082,0.4917,0,0.0696,0,0.0456,2
MAG,6,DACT,12,0.009592326,1.9668,11,0.2784,0,0.1824,0
MAG,6,eryca,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,FILAGO,4,0.003197442,0.6556,1,0.0928,0,0.0608,0
MAG,6,frank,7,0.005595524,1.1473,0,0.1624,0,0.1064,0
MAG,6,GALIVE,1,0.000799361,0.1639,1,0.0232,0,0.0152,0
MAG,6,geranium,5,0.003996803,0.8195,0,0.116,0,0.076,0
MAG,6,HEDYP,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,HELISA,2,0.001598721,0.3278,2,0.0464,0,0.0304,0
MAG,6,HORDEUM,11,0.008792966,1.8029,5,0.2552,0,0.1672,5
MAG,6,limonium,21,0.016786571,3.4419,0,0.4872,2,0.3192,0
MAG,6,LINU,3,0.002398082,0.4917,1,0.0696,0,0.0456,1
MAG,6,lygi,29,0.023181455,4.7531,0,NA,NA,0.4408,0
MAG,6,MEDILIT,3,0.002398082,0.4917,2,0.0696,0,0.0456,0
MAG,6,NEATOS,6,0.004796163,0.9834,3,0.1392,0,0.0912,0
MAG,6,PEGANUM,2,0.001598721,0.3278,0,0.0464,0,0.0304,0
MAG,6,placor,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,PLAFRA,8,0.006394884,1.3112,3,0.1856,0,0.1216,1
MAG,6,PLAL,199,0.159072742,32.6161,28,4.6168,0,3.0248,2
MAG,6,plantula,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,save,19,0.01518785,3.1141,5,0.4408,0,NA,NA
MAG,6,SEDU,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,SENECIO,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,sonchus,1,0.000799361,0.1639,0,0.0232,0,0.0152,0
MAG,6,spergula,8,0.006394884,1.3112,0,0.1856,1,0.1216,0
MAG,6,spheno,16,0.012789768,2.6224,0,0.3712,2,0.2432,0
MAG,6,STIPAR,49,0.039168665,8.0311,21,1.1368,0,0.7448,5
MAG,6,SUAEDA,36,0.028776978,5.9004,1,0.8352,1,0.5472,0
MAG,6,THYMUZY,2,0.001598721,0.3278,0,0.0464,0,0.0304,0
MAG,6,trigomon,11,0.008792966,1.8029,6,0.2552,0,0.1672,0
